Week,Week Number,Week RC,Year,a. Salary,b. Bonus,Bonus / 100,c. P.A.,d. Other,e. OT,Total Payroll,Volume IB,Actual AHT,Actual % SHR,Actual ABN calls,Actual ABN rate,Attrition ACT,Attrition % ACT,Calls per Hour,Workload,Productive Hrs
9/30/2019,40,W40_2019,2019,"$15,846 ","$33,462 ",$334.62 ,"$2,518 ","$3,389 ",,"$55,215 ","55,154",205,27.80%,"3,075",5.60%,3,2.60%,12.7,"3,141","4,090"
10/7/2019,41,W41_2019,2019,"$16,350 ","$32,886 ",$328.86 ,"$2,611 ","$3,414 ",,"$55,260 ","51,274",205,25.80%,"3,032",5.90%,0,0.00%,11.8,"2,925","4,073"
10/14/2019,42,W42_2019,2019,"$17,259 ","$31,826 ",$318.26 ,"$2,677 ","$3,418 ",,"$55,179 ","49,518",206,23.50%,"2,517",5.10%,1,0.90%,11.2,"2,829","4,189"
10/21/2019,43,W43_2019,2019,"$17,379 ","$32,254 ",$322.54 ,"$2,688 ","$3,497 ",,"$55,818 ","49,559",203,23.80%,"2,559",5.20%,0,0.00%,11.2,"2,793","4,184"
10/28/2019,44,W44_2019,2019,"$17,227 ","$31,953 ",$319.53 ,"$2,689 ","$3,434 ",,"$55,304 ","47,862",201,24.90%,"2,529",5.30%,0,0.00%,11,"2,671","4,116"
11/4/2019,45,W45_2019,2019,"$17,046 ","$37,064 ",$370.64 ,"$2,676 ","$3,689 ",,"$60,475 ","49,949",201,21.60%,"3,294",6.60%,1,0.90%,10.9,"2,760","4,259"
11/11/2019,46,W46_2019,2019,"$17,698 ","$33,928 ",$339.28 ,"$2,798 ","$3,589 ",,"$58,013 ","45,573",202,20.70%,"2,140",4.70%,0,0.00%,10.4,"2,561","4,163"
11/18/2019,47,W47_2019,2019,"$17,391 ","$32,944 ",$329.44 ,"$2,613 ","$3,544 ",,"$56,493 ","39,471",210,21.90%,155,0.40%,0,0.00%,9,"2,305","4,369"
11/25/2019,48,W48_2019,2019,"$17,262 ","$23,904 ",$239.04 ,"$2,783 ","$3,106 ",,"$47,054 ","29,816",203,36.60%,96,0.30%,1,0.80%,8.2,"1,679","3,603"
12/2/2019,49,W49_2019,2019,"$17,391 ","$32,708 ",$327.08 ,"$2,676 ","$3,466 ",$61 ,"$56,302 ","39,702",217,22.20%,151,0.40%,2,1.70%,9,"2,391","4,410"
12/9/2019,50,W50_2019,2019,"$16,871 ","$26,590 ",$265.90 ,"$2,625 ","$3,147 ",,"$49,233 ","36,812",217,24.70%,94,0.30%,0,0.00%,8.8,"2,215","4,166"
12/16/2019,51,W51_2019,2019,"$16,195 ","$21,925 ",$219.25 ,"$2,284 ","$2,929 ",,"$43,333 ","34,375",218,22.20%,125,0.40%,1,0.80%,8.1,"2,082","4,220"
12/23/2019,52,W52_2019,2019,"$15,027 ","$14,355 ",$143.55 ,"$2,506 ","$2,555 ",,"$34,443 ","27,658",206,49.30%,150,0.50%,3,2.50%,9.2,"1,582","2,976"
12/30/2019,1,W1_2020,2019,"$12,201 ","$10,891 ",$108.91 ,"$1,718 ",$318 ,,"$25,128 ","50,835",210,49.60%,1307,2.60%,4,3.50%,18.9,"2,965","2,620"
1/6/2020,2,W2_2020,2020,"$12,881 ","$25,903 ",$259.03 ,"$1,756 ",$326 ,,"$40,866 ","58,808",219,19.40%,169,0.30%,0,0.00%,14.3,"3,575","4,106"
1/13/2020,3,W3_2020,2020,"$12,949 ","$24,286 ",$242.86 ,"$1,548 ",$324 ,,"$39,106 ","57,455",218,17.90%,117,0.20%,3,2.70%,13.7,"3,473","4,186"
1/20/2020,4,W4_2020,2020,"$12,671 ","$23,196 ",$231.96 ,"$1,505 ",$318 ,,"$37,690 ","55,589",213,20.20%,153,0.30%,1,0.90%,13.6,"3,289","4,072"
1/27/2020,5,W5_2020,2020,"$12,828 ","$27,310 ",$273.10 ,"$1,598 ",$335 ,,"$42,071 ","59,939",216,19.50%,150,0.30%,0,0.00%,14.8,"3,595","4,051"
2/3/2020,6,W6_2020,2020,"$18,618 ","$29,671 ",$296.71 ,"$2,046 ",$374 ,,"$50,709 ","62,038",217,23.00%,647,1.00%,0,0.00%,15.2,"3,733","4,028"
2/10/2020,7,W7_2020,2020,"$15,681 ","$23,350 ",$233.50 ,"$2,008 ",$396 ,,"$41,436 ","55,165",207,27.50%,178,0.30%,0,0.00%,13.7,"3,175","4,022"
2/17/2020,8,W8_2020,2020,"$16,016 ","$24,920 ",$249.20 ,"$2,066 ",$400 ,,"$43,402 ","57,057",206,24.70%,128,0.20%,1,1.00%,13.6,"3,273","4,175"
2/24/2020,9,W9_2020,2020,"$16,032 ","$37,556 ",$375.56 ,"$2,154 ",$382 ,,"$56,124 ","89,102",240,21.20%,1617,1.80%,2,2.00%,19.8,"5,929","4,414"
3/2/2020,10,W10_2020,2020,"$15,100 ","$21,828 ",$218.28 ,"$2,132 ",$377 ,,"$39,437 ","75,994",231,19.30%,1012,1.30%,3,3.00%,16.8,"4,883","4,452"
3/9/2020,11,W11_2020,2020,"$14,570 ","$25,176 ",$251.76 ,"$1,976 ",$364 ,,"$42,086 ","70,498",220,21.70%,291,0.40%,1,0.90%,16.7,"4,300","4,214"
3/16/2020,12,W12_2020,2020,"$16,779 ","$12,235 ",$122.35 ,"$1,733 ",$306 ,,"$31,052 ","57,405",195,38.50%,232,0.40%,11,9.30%,17.1,"3,108","3,336"
3/23/2020,13,W13_2020,2020,"$11,471 ","$11,610 ",$116.10 ,"$1,684 ",$296 ,,"$25,061 ","57,433",193,27.30%,234,0.40%,2,2.20%,15.2,"3,079","3,759"
3/30/2020,14,W14_2020,2020,"$10,773 ","$9,579 ",$95.79 ,"$1,556 ",$274 ,,"$22,182 ","62,994",184,22.90%,164,0.30%,1,1.10%,18.3,"3,220","3,439"
4/6/2020,15,W15_2020,2020,"$9,486 ","$9,372 ",$93.72 ,"$1,346 ",$241 ,,"$20,444 ","65,438",171,35.20%,248,0.40%,3,3.50%,21.6,"3,111","3,012"
4/13/2020,16,W16_2020,2020,"$9,342 ","$5,242 ",$52.42 ,"$1,294 ",$234 ,,"$16,112 ","78,718",196,50.70%,5025,6.40%,2,2.60%,47.2,"4,286","1,562"
4/20/2020,17,W17_2020,2020,"$11,547 ",$256 ,$2.56 ,"$1,785 ",$287 ,,"$13,875 ","75,000",403,101.30%,2234,32.00%,0,0.00%,38,780,125
4/27/2020,18,W18_2020,2020,"$13,301 ","$6,062 ",$60.62 ,"$1,933 ",$294 ,,"$21,589 ","75,000",280,80.70%,1823,10.80%,1,1.40%,19.7,"1,316",765
5/4/2020,19,W19_2020,2020,"$12,945 ","$7,710 ",$77.10 ,"$1,837 ",$320 ,,"$22,813 ","87,095",234,72.10%,7384,8.50%,0,0.00%,70.5,"5,654","1,130"
5/11/2020,20,W20_2020,2020,"$16,285 ","$13,973 ",$139.73 ,"$1,939 ",$328 ,,"$32,525 ","88,404",203,33.50%,2090,2.40%,0,0.00%,28.2,"4,985","3,062"
5/18/2020,21,W21_2020,2020,"$16,414 ","$18,035 ",$180.35 ,"$1,905 ",$329 ,,"$36,683 ","85,301",193,25.70%,924,1.10%,0,0.00%,24.6,"4,573","3,427"
5/25/2020,22,W22_2020,2020,"$16,900 ","$14,390 ",$143.90 ,"$1,723 ",$331 ,,"$33,344 ","75,060",194,22.70%,849,1.10%,0,0.00%,20.5,"4,045","3,624"
6/1/2020,23,W23_2020,2020,"$13,247 ","$22,688 ",$226.88 ,"$1,849 ",$333 ,,"$38,117 ","86,089",196,22.20%,1346,1.60%,0,0.00%,22.3,"4,687","3,804"
6/8/2020,24,W24_2020,2020,"$12,973 ","$22,614 ",$226.14 ,"$1,870 ",$324 ,,"$37,780 ","81,143",194,31.60%,696,0.90%,3,2.70%,24.4,"4,373","3,296"
6/15/2020,25,W25_2020,2020,"$12,932 ","$22,099 ",$220.99 ,"$1,910 ",$324 ,,"$37,265 ","80,240",191,18.70%,717,0.90%,1,0.90%,20.1,"4,257","3,947"
6/22/2020,26,W26_2020,2020,"$12,724 ","$23,212 ",$232.12 ,"$1,818 ",$317 ,,"$38,071 ","86,325",188,21.60%,591,0.70%,2,1.90%,22.2,"4,508","3,865"
6/29/2020,27,W27_2020,2020,"$11,976 ","$23,385 ",$233.85 ,"$1,632 ",$316 ,,"$37,308 ","74,430",190,22.20%,397,0.50%,2,1.80%,19.5,"3,928","3,804"
7/6/2020,28,W28_2020,2020,"$12,424 ","$23,365 ",$233.65 ,"$1,680 ",$309 ,,"$37,777 ","73,938",191,19.60%,438,0.60%,2,1.80%,18.8,"3,923","3,904"
7/13/2020,29,W29_2020,2020,"$12,451 ","$24,730 ",$247.30 ,"$1,706 ",$312 ,,"$39,199 ","73,033",192,18.40%,165,0.20%,1,0.90%,18.3,"3,902","3,992"
7/20/2020,30,W30_2020,2020,"$12,494 ","$28,799 ",$287.99 ,"$1,732 ",$312 ,,"$43,338 ","85,211",195,17.20%,269,0.30%,0,0.00%,21.5,"4,616","3,950"
7/27/2020,31,W31_2020,2020,"$11,907 ","$28,561 ",$285.61 ,"$1,645 ",$306 ,,"$42,419 ","94,812",192,20.70%,760,0.80%,1,0.90%,24.8,"5,057","3,785"
8/3/2020,32,W32_2020,2020,"$11,626 ","$29,917 ",$299.17 ,"$1,640 ",$292 ,,"$43,475 ","101,066",157,21.60%,3974,3.90%,11,6.50%,16.5,"4,398","5,880"
8/10/2020,33,W33_2020,2020,"$11,381 ","$28,320 ",$283.20 ,"$1,629 ",$288 ,,"$41,617 ","97,458",130,21.20%,3974,4.10%,3,1.90%,15.8,"3,528","5,904"
8/17/2020,34,W34_2020,2020,"$11,153 ","$26,211 ",$262.11 ,"$1,499 ",$284 ,,"$39,148 ","93,329",158,18.10%,4734,5.10%,3,1.90%,14.6,"4,087","6,048"
8/24/2020,35,W35_2020,2020,"$11,226 ","$29,240 ",$292.40 ,"$1,584 ",$283 ,,"$42,333 ","90,891",162,20.00%,3955,4.40%,2,1.30%,14.2,"4,082","6,114"
8/31/2020,36,W36_2020,2020,"$10,975 ","$30,573 ",$305.73 ,"$1,554 ",$280 ,,"$43,382 ","97,024",172,18.30%,3643,3.80%,2,1.30%,14.8,"4,636","6,299"
9/7/2020,37,W37_2020,2020,"$11,009 ","$19,723 ",$197.23 ,"$1,574 ",$282 ,$139 ,"$32,728 ","87,066",163,33.80%,6261,7.20%,2,1.40%,15.7,"3,942","5,138"
9/14/2020,38,W38_2020,2020,"$14,251 ","$27,365 ",$273.65 ,"$1,567 ",$276 ,,"$43,459 ","86,383",156,27.10%,3289,3.80%,2,1.40%,13.6,"3,751","6,120"
9/21/2020,39,W39_2020,2020,"$10,724 ","$23,693 ",$236.93 ,"$1,456 ",$266 ,,"$36,139 ","86,981",157,19.30%,3300,3.80%,3,2.20%,14.1,"3,793","5,942"
9/28/2020,40,W40_2020,2020,"$10,425 ","$25,844 ",$258.44 ,"$1,451 ",$261 ,,"$37,981 ","95,231",158,15.50%,3980,4.20%,1,0.70%,15.3,"4,180","5,961"
10/5/2020,41,W41_2020,2020,"$10,093 ","$27,384 ",$273.84 ,"$1,411 ",$253 ,,"$39,141 ","83,391",154,18.10%,3328,4.00%,2,1.50%,15.1,"3,557","5,319"
10/12/2020,42,W42_2020,2020,"$9,832 ","$25,587 ",$255.87 ,"$1,389 ",$247 ,,"$37,055 ","85,030",151,14.40%,2187,2.60%,2,1.60%,15.4,"3,571","5,394"
10/19/2020,43,W43_2020,2020,"$9,812 ","$23,994 ",$239.94 ,"$1,328 ",$248 ,$246 ,"$35,628 ","77,796",153,13.80%,1934,2.50%,0,0.00%,14.1,"3,306","5,377"
10/26/2020,44,W44_2020,2020,"$10,597 ","$21,666 ",$216.66 ,"$1,190 ",$269 ,,"$33,723 ","86,186",172,13.70%,3301,3.80%,0,0.00%,15.3,"4,118","5,426"
11/2/2020,45,W45_2020,2020,"$10,735 ","$24,561 ",$245.61 ,"$1,443 ",$272 ,,"$37,012 ","92,195",159,14.90%,3165,3.40%,0,0.00%,16.1,"4,072","5,532"
11/9/2020,46,W46_2020,2020,"$10,820 ","$23,797 ",$237.97 ,"$1,486 ",$273 ,$27 ,"$36,404 ","88,707",152,14.50%,2516,2.80%,2,1.70%,15.3,"3,745","5,647"
11/16/2020,47,W47_2020,2020,"$13,410 ","$20,231 ",$202.31 ,"$1,413 ",$266 ,$27 ,"$35,347 ","82,714",164,19.30%,2788,3.40%,2,1.70%,14.7,"3,768","5,437"
11/23/2020,48,W48_2020,2020,"$8,153 ","$7,275 ",$72.75 ,"$1,160 ",$232 ,$27 ,"$16,846 ","60,590",157,31.30%,1632,2.70%,4,3.00%,12.4,"2,642","4,741"
11/30/2020,49,W49_2020,2020,"$9,869 ","$20,676 ",$206.76 ,"$1,388 ",$259 ,,"$32,192 ","85,523",169,21.00%,2813,3.30%,1,0.70%,15.2,"4,015","5,455"
12/7/2020,50,W50_2020,2020,"$9,915 ","$19,829 ",$198.29 ,"$1,381 ",$262 ,$18 ,"$31,405 ","81,096",168,22.40%,2813,3.50%,0,0.00%,15.1,"3,784","5,184"
12/14/2020,51,W51_2020,2020,"$9,502 ","$18,779 ",$187.79 ,"$1,289 ",$250 ,$13 ,"$29,834 ","83,332",163,25.10%,3243,3.90%,1,0.70%,15.9,"3,773","5,028"
12/21/2020,52,W52_2020,2020,"$8,712 ","$7,763 ",$77.63 ,"$1,258 ",$246 ,$27 ,"$18,006 ","57,680",158,48.70%,2545,4.40%,2,1.50%,15.1,"2,532","3,661"
12/28/2020,53,W53_2020,2020,"$8,918 ","$12,722 ",$127.22 ,"$1,245 ",$242 ,$27 ,"$23,153 ","81,771",162,48.10%,6817,8.30%,2,1.50%,20.5,"3,680","3,664"
1/4/2021,1,W1_2021,2021,"$10,100 ","$29,988 ",$299.88 ,"$1,398 ","$2,606 ",$18 ,"$44,110 ","105,739",176,25.40%,6085,5.80%,3,2.20%,19.5,"5,169","5,104"
1/11/2021,2,W2_2021,2021,"$9,851 ","$30,935 ",$309.35 ,"$1,388 ","$2,663 ",$22 ,"$44,859 ","78,237",192,20.50%,2795,3.60%,1,0.80%,15.2,"4,173","4,949"
1/18/2021,3,W3_2021,2021,"$9,318 ","$28,302 ",$283.02 ,"$1,282 ","$2,447 ",$45 ,"$41,393 ","73,265",193,17.20%,3092,4.20%,0,0.00%,15.6,"3,928","4,500"
1/25/2021,4,W4_2021,2021,"$9,675 ","$28,760 ",$287.60 ,"$1,321 ","$2,534 ",$108 ,"$42,398 ","76,804",194,21.30%,5158,6.70%,0,0.00%,15,"4,139","4,788"
2/1/2021,5,W5_2021,2021,"$13,813 ","$29,114 ",$291.14 ,"$1,558 ","$2,655 ",$161 ,"$47,301 ","79,870",189,16.60%,2662,3.30%,0,0.00%,14.6,"4,193","5,273"
2/8/2021,6,W6_2021,2021,"$11,044 ","$26,762 ",$267.62 ,"$1,575 ","$2,564 ",$148 ,"$42,093 ","56,337",187,20.40%,1092,1.90%,0,0.00%,10.7,"2,926","5,150"
2/15/2021,7,W7_2021,2021,"$10,773 ","$17,612 ",$176.12 ,"$1,426 ","$2,098 ",$242 ,"$32,151 ","66,440",177,10.30%,1071,1.60%,1,0.70%,10.9,"3,267","5,978"
2/22/2021,8,W8_2021,2021,"$12,450 ","$32,246 ",$322.46 ,"$1,682 ","$2,967 ",$134 ,"$49,480 ","78,603",187,10.00%,1424,1.80%,1,0.70%,12.9,"4,083","5,963"
3/1/2021,9,W9_2021,2021,"$12,929 ","$34,031 ",$340.31 ,"$1,727 ","$3,088 ",$148 ,"$51,924 ","88,906",190,10.30%,2190,2.50%,2,1.40%,18,"4,692","4,810"
3/8/2021,10,W10_2021,2021,"$12,821 ","$31,839 ",$318.39 ,"$1,719 ","$2,974 ",$361 ,"$49,715 ","79,590",187,12.10%,1187,1.50%,1,0.70%,16.2,"4,134","4,854"
3/15/2021,11,W11_2021,2021,"$16,191 ","$37,087 ",$370.87 ,"$1,761 ","$3,252 ",$767 ,"$59,059 ","95,773",200,14.10%,2481,2.60%,2,1.40%,19.6,"5,321","4,755"
3/22/2021,12,W12_2021,2021,"$11,868 ","$28,601 ",$286.01 ,"$1,510 ","$2,769 ",$132 ,"$44,880 ","80,577",189,18.40%,1210,1.50%,2,1.40%,17.6,"4,230","4,502"
3/29/2021,13,W13_2021,2021,"$11,932 ","$25,947 ",$259.47 ,"$1,649 ","$2,633 ",$36 ,"$42,198 ","76,185",185,18.10%,946,1.20%,2,1.40%,16.8,"3,915","4,478"
4/5/2021,14,W14_2021,2021,"$11,760 ","$25,718 ",$257.18 ,"$1,666 ","$2,617 ",$54 ,"$41,815 ","78,235",182,26.10%,1102,1.40%,2,1.30%,17.6,"3,955","4,391"
4/12/2021,15,W15_2021,2021,"$11,519 ","$24,212 ",$242.12 ,"$1,536 ","$2,556 ",$54 ,"$39,877 ","75,999",174,15.40%,984,1.30%,4,3%,15.5,"3,673","4,845"
4/19/2021,16,W16_2021,2021,"$11,356 ","$20,613 ",$206.13 ,"$1,595 ","$2,353 ",$45 ,"$35,962 ","70,545",169,14.20%,701,1.00%,1,1%,13.4,"3,312","5,214"
4/26/2021,17,W17_2021,2021,"$14,564 ","$20,402 ",$204.02 ,"$1,577 ","$2,319 ",$54 ,"$38,916 ","68,112",169,13.60%,719,1.10%,1,1%,13.1,"3,197","5,143"
5/3/2021,18,W18_2021,2021,"$12,834 ","$21,854 ",$218.54 ,"$1,775 ","$2,587 ",$40 ,"$39,091 ","69,346",162,16.60%,760,1.10%,1,1%,14.1,"3,121","4,861"
5/10/2021,19,W19_2021,2021,"$12,754 ","$21,047 ",$210.47 ,"$1,718 ","$2,532 ",$45 ,"$38,097 ","66,720",159,17.90%,692,1.00%,1,1%,13,"2,947","5,098"
5/17/2021,20,W20_2021,2021,"$12,686 ","$21,005 ",$210.05 ,"$1,653 ","$2,543 ",,"$37,887 ","67,452",166,18.40%,640,0.90%,1,1%,13.3,"3,110","5,016"
5/24/2021,21,W21_2021,2021,"$12,688 ","$23,972 ",$239.72 ,"$1,743 ","$2,683 ",$77 ,"$41,162 ","68,250",164,19.10%,1254,1.80%,4,4%,13.7,"3,109","4,895"
5/31/2021,22,W22_2021,2021,"$12,661 ","$18,605 ",$186.05 ,"$1,484 ","$2,423 ",,"$35,173 ","74,165",156,17.20%,4634,6.20%,3,3%,14.7,"3,214","4,725"
6/7/2021,23,W23_2021,2021,"$11,266 ",$678 ,$6.78 ,"$3,605 ","$28,037 ",$337 ,"$43,923 ","70,982",155,15.00%,667,0.90%,2,2%,14.2,"3,056","4,969"
6/14/2021,24,W24_2021,2021,"$13,879 ","$23,684 ",$236.84 ,"$1,731 ","$2,670 ",,"$41,965 ","70,110",153,13.60%,816,1.20%,1,1%,13.9,"2,980","5,000"
6/21/2021,25,W25_2021,2021,"$11,995 ","$22,170 ",$221.70 ,"$1,522 ","$2,583 ",,"$38,270 ","67,365",156,15.90%,866,1.30%,0,0%,13.2,"2,919","5,021"
6/28/2021,26,W26_2021,2021,"$12,526 ","$33,108 ",$331.08 ,"$1,680 ","$3,084 ",,"$50,398 ","79,020",156,13.70%,1178,1.50%,1,1%,15.6,"3,424","4,999"
7/5/2021,27,W27_2021,2021,"$11,587 ","$22,400 ",$224.00 ,"$1,557 ","$2,493 ",,"$38,037 ","69,876",153,13.20%,866,1.20%,1,1%,15,"2,960","4,605"
7/12/2021,28,W28_2021,2021,"$14,042 ","$34,266 ",$342.66 ,"$1,776 ","$3,312 ",,"$53,397 ","73,500",158,14.90%,1103,1.50%,1,1%,15.2,"3,226","4,770"
7/19/2021,29,W29_2021,2021,"$14,285 ","$31,630 ",$316.30 ,"$1,852 ","$3,209 ",,"$50,976 ","69,126",153,15.00%,1022,1.50%,1,1%,13.9,"2,938","4,913"
7/26/2021,30,W30_2021,2021,"$14,167 ","$29,403 ",$294.03 ,"$1,812 ","$3,089 ",,"$48,471 ","69,552",151,16.10%,1185,1.70%,0,0%,14.2,"2,908","4,817"
8/2/2021,31,W31_2021,2021,"$13,802 ","$28,418 ",$284.18 ,"$1,764 ","$3,032 ",,"$47,017 ","70,076",153,17.40%,1105,1.60%,2,2%,14.8,"2,974","4,663"
8/9/2021,32,W32_2021,2021,"$13,774 ","$28,013 ",$280.13 ,"$1,753 ","$2,967 ",$42 ,"$46,548 ","65,639",155,15.60%,944,1.40%,3,3%,13.9,"2,828","4,654"
8/16/2021,33,W33_2021,2021,"$13,672 ","$29,807 ",$298.07 ,"$1,731 ","$3,064 ",,"$48,273 ","68,719",152,18.10%,1071,1.60%,2,2%,14.1,"2,892","4,797"
8/23/2021,34,W34_2021,2021,"$13,419 ","$31,281 ",$312.81 ,"$1,789 ","$3,137 ",,"$49,626 ","65,888",152,16.80%,1029,1.60%,1,1%,14.1,"2,785","4,597"
8/30/2021,35,W35_2021,2021,"$13,511 ","$37,661 ",$376.61 ,"$1,806 ","$3,483 ",$21 ,"$56,483 ","71,144",158,17.30%,1294,1.80%,0,0%,14.8,"3,113","4,718"
9/6/2021,36,W36_2021,2021,"$13,014 ","$26,322 ",$263.22 ,"$1,522 ","$3,150 ",$99 ,"$44,107 ","66,909",141,19.00%,1157,1.70%,2,2%,14.2,"2,612","4,643"
9/13/2021,37,W37_2021,2021,"$17,552 ","$31,994 ",$319.94 ,"$1,734 ","$3,157 ",$117 ,"$54,555 ","70,712",147,16.10%,1326,1.90%,1,1%,14.5,"2,879","4,787"
9/20/2021,38,W38_2021,2021,"$13,894 ","$28,538 ",$285.38 ,"$1,842 ","$3,032 ",$128 ,"$47,434 ","66,293",146,15.70%,866,1.30%,0,0%,13.2,"2,683","4,953"
9/27/2021,39,W39_2021,2021,"$13,936 ","$33,127 ",$331.27 ,"$1,863 ","$3,270 ",$150 ,"$52,345 ","70,600",149,15.50%,1828,2.60%,1,1%,14.1,"2,920","4,883"
10/4/2021,40,W40_2021,2021,"$13,705 ","$33,357 ",$333.57 ,"$1,802 ","$3,242 ",$97 ,"$52,202 ","70,757",146,15.30%,1541,2.20%,0,0%,13.9,"2,871","4,977"
10/11/2021,41,W41_2021,2021,"$14,022 ","$32,773 ",$327.73 ,"$1,911 ","$3,302 ",$108 ,"$52,116 ","70,268",142,13.30%,1293,1.80%,0,0%,13.6,"2,775","5,068"
10/18/2021,42,W42_2021,2021,"$14,153 ","$29,525 ",$295.25 ,"$1,865 ","$3,091 ",$108 ,"$48,741 ","65,663",145,13.30%,1079,1.60%,2,2%,12.8,"2,646","5,053"
10/25/2021,43,W43_2021,2021,,,,,,,,"63,817",143,15.60%,975,1.50%,0,0%,12.1,"2,532","5,178"
